Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"López Santana, María José",PSOE-NCa,Gran Canaria (Las Palmas),–,1 (XII),1
"López Sanz, Salvador †",PSOE,Valencia,"2 (II, III)",–,2
"bgcolor=lightgrayLópez Somoza, Gema",PSOE,Madrid,1 (XIV),–,1
"López Valdivielso, Santiago","CP, PP",Valladolid,"4 (III, IV, V, VI)",1 (X),5
"López Veiga, Enrique César",PP,Parlamento de Galicia,–,1 (X),1
"López Villena, Carmelo",PSOE,Almería,"2 (VIII, IX)",–,2
"López Yébenes, Francisca",PSOE,Ciudad Real,–,1 (VI),1
"López Zamora, Cristina",PSOE,Ciudad Real,"2 (XIII, XIV)",–,2
"López-Amor García, Fernando",PP,"Madrid, Córdoba","5 (VI, VII, VIII, IX, X)",–,5
"López-Bas Valero, Ignacio",C's,Alicante,1 (XIII),–,1
"López-Bravo y de Castro, Gregorio †",AP,Madrid,1 (C),–,1
"López-Casero García, Antonio",UCD,Ciudad Real,1 (C),–,1
"López-Medel Báscones, Jesús",PP,"Cantabria, Madrid","3 (VI, VII, VIII)",–,3
"López de Lerma i López, Josep",CiU,Gerona,"7 (I, II, III, IV, V, VI, VII)",–,7
"López de Uralde Garmendia, Juan Antonio","Podemos (Equo), UP",Álava,"4 (XI, XII, XIII, XIV)",–,4
"Lora Pagola, Diego",PP,Ávila,–,"2 (V, VI)",2
"Lorda i Alaiz, Felip †",PSC-PSOE,Lérida / Parlamento de Cataluña,1 (C),"3 (II, III, IV)",4
"Lorenzo Rodríguez, Domingo",C's,Castellón,"2 (XI, XII)",–,2
"Lorenzo Torres, Miguel",PP,La Coruña,"2 (XI, XII)","2 (XIII, XIV)",4
"Lorite García, Mariana",PP,Jaén,–,1 (X),1
"Lorite Lorite, Andrés",PP,Córdoba,"2 (XIII, XIV)",–,2
"Loroño Ormaechea, Inmaculada",PNV,Vizcaya,–,"2 (VII, VIII)",2
"Losa Quintana, Mariano",UCD,Burgos,–,1 (I),1
"Losada de Azpiazu, Francisco Javier",PSdeG-PSOE,La Coruña,–,"3 (VIII, IX, X)",3
"Losada Fernández, José",PSOE,Sevilla,1 (XIV),–,1
"Louro Goyanes, Antonio",PSdeG-PSOE,Pontevedra,"2 (VIII, IX)",–,2
"Lovelle Alen, María del Carmen",AP-PDP,Parlamento de Galicia,–,1 (II),1
"Lozano de la Fuente, Rodrigo",UCD,Cuenca,–,1 (C),1
"Lozano Domingo, Irene","UPyD, PSOE",Madrid,"2 (X, XI)",–,2
"Lozano Pérez, Baldomero †",PSOE,León,"2 (C, I)",–,2
"Luca de Tena y Brunet, Guillermo †",Independiente,Designación real,–,1 (C),1
"Lucas Giménez, Juan José","CP, PP",Soria / Cortes de Castilla y León,"2 (III, IV)","7 (VII, VIII, IX, X, XI, XII, XIII)",9
"Lucas Martín, Francisco Javier de",PSOE,Valencia,–,"2 (XIII, XIV)",2
"Lucas Parrón, Francisco David",PSOE,Madrid,–,1 (XII),1
"Lucio Carrasco, María Pilar",PSOE,Cáceres,"3 (X, XI, XII)",–,3
"Lucio Gómez, Marta",PP,Pontevedra,–,"2 (XI, XII)",2
"Luena López, César",PSOE,La Rioja,"4 (IX, X, XI, XII)",–,4
"Luis Bail, Jorge","Podemos, UP",Huesca,"2 (XI, XII)",–,2
"Luis Calvo, Andrés",PSOE,Zamora,–,"5 (II, III, IV, V, VI)",5
"Luis Heras, María del Carmen",PP,Zamora,–,1 (X),1
"Luis Paz, Zenón José †",PSOE,Badajoz,–,1 (II),1
"Luis Rodríguez, Teófilo de",PP,Madrid,"8 (V, VI, VII, VIII, IX, X, XI, XII)",–,8
"Luján Agudo, Eladio",PSOE,Toledo,–,"3 (II, III, IV)",3
"Luján Martínez, Ana Carmen",Cambio-Aldaketa (GBai),Navarra,–,1 (XI),1
"Luna Aguado, Juan Antonio de †",CP,Guadalajara,–,1 (III),1
"Luna González, Ángel",PSOE,Alicante / Cortes Valencianas,"2 (III, IV)",1 (II),3
"Luna Morales, María de los Ángeles",PSOE,Córdoba,–,"2 (XIII, XIV)",2
"Luna Tobarra, María de los Llanos de",PP,Barcelona,1 (XIV),–,1
"Luna i Vivas, Rafel",PP,Parlamento de Cataluña,–,"2 (VI, VII)",2
"Luque Aguilar, Florencio",PP,Córdoba,1 (VII),–,1
"Luquero de Nicolás, Clara Isabel",PSOE,Segovia,1 (IX),–,1
"Luxán Meléndez, Carlos de †",PSOE,Guadalajara,1 (C),–,1
"Luzardo de León, María Dolores",PP,Parlamento de Canarias,–,1 (IX),1
"Luzardo Fuentes, Óscar Manuel",PP,Lanzarote (Las Palmas),–,1 (X),1
"Luzardo Romano, Josefa",PP,Gran Canaria (Las Palmas) / Parlamento de Canarias,–,"4 (V, VI, IX, X)",4
"Macarro Vera, José Manuel",PSOE,Sevilla,1 (II),–,1
"Macias i Arau, Pere",CiU,Barcelona / Parlamento de Cataluña,"2 (IX, X)","2 (VII, VIII)",4
"Macías Mateos, María Teresa",PSOE,Badajoz,–,"2 (XIII, XIV)",2
"Macías Santana, José †","AP-PDP, CP, PP",Las Palmas. Gran Canaria,1 (V),"6 (II, III, IV, VII, VIII, IX)",7
"Madariaga Izurza, Gabriel María",PNV,Vizcaya,–,1 (IV),1
"Madero Jarabo, José",PP,Cuenca,"5 (V, VI, VII, VIII, IX)",–,5
"Madina Muñoz, Eduardo",PSE-EE (PSOE),"Vizcaya, Madrid","4 (VIII, IX, X, XII)",–,4
"Madrazo Díaz, Ana María",PP,Cantabria,"5 (VIII, IX, X, XI, XII)",–,5
"Madre Ortega, Manuela de",PSC-PSOE,Barcelona,"2 (II, III)",–,2
"Madrid López, Demetrio",PSOE,Zamora,"5 (C, I, II, V, VI)",1 (VII),6
"Maeso Carbonell, Vicente",PP,Murcia,1 (IV),"2 (V, VI)",3
"Maestre Martín de Almagro, Cristina",PSOE,Ciudad Real,–,"2 (VIII, IX)",2
"Maestro Martín, María Ángeles",IU,Madrid,"3 (IV, V, VI)",–,3
"Maestro Moliner, Roser",UP (EUPV),Valencia,"2 (XIII, XIV)",–,2
"Magallón Celma, Manuel †",UCD,Teruel,–,"2 (C, I)",2
"Magdaleno Alegría, Antonio",PSOE,Navarra,–,"2 (XIII, XIV)",2
"Magro Servet, Vicente",PP,Alicante,–,1 (VI),1
"Maiso González, José",PSOE,Palencia,–,1 (II),1
"Majó i Cruzate, Joan",PSC-PSOE,Barcelona,1 (III),–,1
"Malabia Rabadán, Esteban",PP,Cuenca,–,1 (IV),1
"Malaret García, Elisenda",PSC-PSOE,Barcelona,"2 (VIII, IX)",–,2
"Maldonado Fernández de Tejada, Luis",PP,Ciudad Real,1 (IX),–,1
"Maldonado i Gili, Josep",CiU,Tarragona / Parlamento de Cataluña,"2 (VII, VIII)","2 (IX, X)",4
"Maldonado López, Daniel †",PSOE,Granada,1 (C),–,1
"Maldonado Pérez, Antonio",PSOE,Málaga,–,1 (V),1
"Mallol Gil, María Mercedes",PP,Castellón,–,"2 (XI, XII)",2
"Malón Nicolao, Jesús †",PSOE,Navarra,1 (II),–,1
"Maluquer i Ferrer, Pere",CiU,Gerona,–,1 (X),1
"Mancha Cadenas, Jesús Andrés",PP,Cádiz / Parlamento de Andalucía,"2 (VII, VIII)",1 (VI),3
"Manchado Lozano, José Antonio",PSOE,Mallorca (Baleares),–,1 (X),1
"Manglano de Mas, Carlos","AP-PDP-UV, CP",Valencia,"2 (II, III)",–,2
"Mansilla Hidalgo, Mario",PSOE,Cortes de Castilla-La Mancha,–,"2 (VII, VIII)",2
"Manso Olivar, Rubén Silvano",Vox,Málaga,1 (XIV),–,1
"Mantilla Rodríguez, Carlos",PP,Pontevedra,"4 (V, VI, VII, VIII)",1 (IV),5
"Mañanes Marqués, Domingo †",PSOE,Zamora,–,1 (II),1
"Máñez Rodriguez, Elena",PSOE,Las Palmas,"2 (XIII, XIV)",–,2
"Mañueco Alonso, Jesús",PP,Palencia / Cortes de Castilla y León,"2 (IV, V)",1 (VII),3
"Maqueda Lafuente, Francisco Javier",PNV,Vizcaya,–,1 (VIII),1
"Maragall i Noble, Jordi †",PSC-PSOE,Barcelona,–,"5 (II, III, IV, V, VI)",5
"Marañón Basarte, María Arritokieta",PSE-EE (PSOE),Guipúzcoa,1 (IX),–,1
"Maravall Herrero, José María",PSOE,Valencia,1 (III),–,1
"Marca i Cañellas, David",CiU,Gerona,–,"2 (IV, V)",2
"Marcello Santos, Ana","Podemos, UP",León,"2 (XI, XII)",–,2
"Marcet i Morera, Joan",PSC-PSOE,Barcelona,"6 (II, III, IV, V, VI, VII)",–,6
"March i Llanes, Òscar †",CiU,Lérida,–,1 (VI),1
"Marco Sebastián, Pascual",PSOE,Zaragoza,–,1 (VI),1
"Marco Soler, Enrique †",PSOE,Castellón,–,1 (C),1
"Marco Tabar, Alfredo",UCD,Álava,–,"2 (C, I)",2
"Marcos Álvarez, Constantino",PSOE,León,–,1 (XIII),1
"Marcos Arias, Tomás",C's,Asamblea de Madrid,–,"5 (X, XI, XII, XIII, XIV)",5
"Marcos Domínguez, Pilar",PP,Madrid,"3 (X, XII, XIV)",–,3
"Marcos Merino, José Luis",PSE-EE (PSOE),Vizcaya,1 (V),–,1
"Marcos Moyano, María Dolores",PP,Cáceres,"2 (XI, XII)",–,2
"Marcos Ortega, Milagros",PP,Palencia,"2 (XIII, XIV)",–,2
"Marcos Serrano, María del Carmen",PP,Valladolid,–,1 (IV),1
"Mardones Sevilla, Luis †","UCD, AIC, CC",Santa Cruz de Tenerife,"7 (II, III, IV, V, VI, VII, VIII)",–,7
"Maresca García-Esteller, Antonio †",PSOE,Almería,–,1 (III),1
"Marfany Oanes, Enrique",CP,La Coruña,–,1 (III),1
"Margall i Sastre, Joan",ERC,Gerona,"3 (XII, XIII, XIV)",–,3
"Marí Bosó, José Vicente",PP,Baleares / Parlamento de las Islas Baleares,"2 (XI, XII)","2 (XIII, XIV)",4
"Marí Calbet, Alonso †","CP, PP",Ibiza-Formentera (Baleares),–,"2 (III, IV)",2
"Marí Klose, Pau",PSOE,Zaragoza,"2 (XIII, XIV)",–,2
"Marí Marí, Antonio",PP,Ibiza-Formentera (Baleares),–,1 (VIII),1
"Marí Torres, Santiago",PP,Ibiza-Formentera (Baleares),–,"2 (XI, XII)",2
"Marías Aguilera, Julián †",Independiente,Designación real,–,1 (C),1
"Marimon i Sabaté, Francesc Xavier",CiU,Lérida,–,1 (VII),1
"Marín Gascón, José Manuel",Vox,Murcia,–,1 (XIV),1
"Marín González, Manuel †",PSOE,Ciudad Real,"5 (C, I, II, VII, VIII)",–,5
"Marín Hellín, Antonio Marcial",PP,Albacete,–,"2 (XI, XII)",2
"Marín Izquierdo, José Ignacio",PP,Burgos,"2 (VI, VII)",1 (VIII),3
"Marín Rite, José Antonio",PSOE,Huelva / Parlamento de Andalucía,–,"5 (III, V, VI, VII, VIII)",5
"Marín Torrecillas, Benito",PP,Asamblea Regional de Murcia,–,"2 (IX, X)",2
"Mariño Ortega, Ana Isabel",PP,Asamblea de Madrid,–,"3 (X, XI, XII)",3
"Mariscal Anaya, Guillermo",PP,Las Palmas,"7 (VIII, IX, X, XI, XII, XIII, XIV)",–,7
"Mariscal Cifuentes, José Manuel",IU,Parlamento de Andalucía,–,1 (X),1
"Mariscal Zabala, Manuel",Vox,Toledo,"2 (XIII, XIV)",–,2
"Mariscal de Gante Mirón, Margarita",PP,Albacete,1 (VII),–,1
"Mármol Peñalver, José Javier",PSOE,Murcia,1 (IX),–,1
"Mármol Servián, José Manuel",PSOE,Córdoba,–,"2 (XI, XII)",2
"Marmolejo Setién, Manuel",PP,Málaga,–,1 (XII),1
"Marón Beltrán, Carmen",PSdeG-PSOE,La Coruña,"4 (VI, VII, VIII, IX)",–,4
"Maroto Aranzábal, Javier Ignacio",PP,Álava / Cortes de Castilla y León,1 (XII),"2 (XIII, XIV)",2
"Maroto Illera, María Reyes",PSOE,Madrid,"2 (XIII, XIV)",–,2
"Maroto San Sebastián, Alfonso †",PSOE,Valladolid,–,1 (III),1
"Marques de Magallanes, Adriano Antonio","CP, PP",Pontevedra,1 (III),1 (VI),2
"Marqués López, Javier",PP,Soria,–,"2 (VIII, IX)",2
"Marqués López, Miguel",AP-PDP-PAR,Teruel,–,1 (II),1
"Marquet Artola, Antonio",PNV,Guipúzcoa,1 (IV),–,1
"Márquez y Cano, Rafael",AP-PDP,Ávila,–,1 (II),1
"Márquez de la Rubia, Francisco",PP,Ceuta,"2 (IX, X)",–,2
"Márquez Fernández, Antonio",UCD,Las Palmas,1 (I),–,1
"Márquez Guerrero, María Salud",UP,Sevilla,"2 (XIII, XIV)",–,2
"Márquez Sánchez, Francisco Javier",PP,Jaén,–,"2 (XIII, XIV)",2
"Marquínez Marquínez, Luis",PP,Huelva,"3 (VI, VII, VIII)",–,3
"Marra Domínguez, María de los Ángeles",PSdeG-PSOE,Pontevedra,"2 (XIII, XIV)",1 (X),3
"Marraco Solana, Santiago",PSOE,Huesca,"2 (I, II)",–,2
"Marrodán Funes, María",PSOE,La Rioja,"2 (XIII, XIV)",–,2
"Marsal i Muntalà, Jordi",PSC-PSOE,Barcelona,"7 (II, III, IV, V, VI, VII, VIII)",–,7
"Martel Gómez, Remedios",PSOE,Málaga,1 (VIII),–,1
"Martí i Deulofeu, Jordi",ERC,Gerona,–,"4 (XI, XII, XIII, XIV)",4
"Martí i Ferré, Joan Josep",CiU,Parlamento de Cataluña,–,"2 (II, III)",2
"Martí i Galbis, Jordi",CiU,Barcelona,1 (VII),–,1
"Martí i Jufresa, Carles",PSC-PSOE,Barcelona,–,1 (X),1
"Martí Massagué, Carles †",PSC-PSOE[2]​,Tarragona,–,"2 (C, I)",2
"Martiarena Lizarazu, José Manuel",PNV,Parlamento Vasco,–,"2 (VI, VII)",2
"Martín Amaro, Ignacio",AP-PDP,Orense,–,1 (II),1
"Martín Crevillén, Elena Irene",PSOE,Alicante,1 (VI),–,1
"Martín Descalzo, Antonio †",UCD,Valladolid,–,1 (C),1
"Martín Gómez, María José",PP,Granada,–,"2 (X, XII)",2
"Martín González, Lucía",ECP,Barcelona,"2 (XI, XII)",–,2
"Martín González, María Guadalupe",PSOE,Toledo,"4 (IX, X, XI, XII)",–,4
"Martín González, Telmo",PP,Pontevedra,1 (X),–,1
"Martín Hernández, Joaquín",PP,Salamanca,–,1 (IV),1
"Martín Hernández, Rafael",UCD,Las Palmas. Gran Canaria,1 (C),1 (I),2
"Martín Iglesias, Pedro",PP,Burgos,–,"3 (IV, V, VI)",3
"Martín Larred, Beatriz",TE,Teruel,–,1 (XIV),1
"Martín Llaguno, Marta",C's,Alicante,"4 (XI, XII, XIII, XIV)",–,4
"Martín Marín, Pedro Antonio",PP,Madrid,1 (VII),–,1
"Martín Martín, Dimas",PIL,Lanzarote (Las Palmas),–,"2 (IV, VII)",2
"Martín Martín, Juan Pablo",PP,Ávila,–,"2 (XIII, XIV)",2
"Martín Mendizábal, María Eugenia",PP,Álava,1 (VIII),1 (VII),2
"Martín Menis, Adán Pablo",CC,Santa Cruz de Tenerife,1 (V),–,1
"Martín Mesa, Antonio",PSOE,Jaén,1 (V),–,1
"Martín Minguijón, Fernando",PP,Zaragoza,–,1 (VII),1
"Martín Montes, César",UCD,Zamora,1 (I),–,1
"Martín Oviedo, José María",UCD,Ávila,"2 (C, I)",–,2
"Martín Palop, Estefanía",PSOE,Málaga,–,"2 (XIII, XIV)",2
"Martín Peré, Pablo",PSOE,Baleares,"2 (IX, X)",–,2
"Martín Pozo, María Teresa",PP,Zamora,1 (X),1 (XIV),2
"Martín Rodríguez, Enrique Luis",PP,Palencia,1 (X),–,1
"Martín Rodríguez, Jesús",PSOE,Ciudad Real,–,"5 (X, XI, XII, XIII, XIV)",5
"Martín Sánchez, Martiniano",UCD,Ávila,1 (I),–,1
"Martín Sánchez, Rafael",PSOE,Toledo,–,1 (V),1
"Martín Soledad, Miguel Ángel",PP,Baleares,"2 (VII, VIII)",–,2
"Martín Suárez, Alfonso Tomás",AP-PDP,Pontevedra,1 (II),–,1
"Martín Toval, Eduardo †",PSC-PSOE,Barcelona,"6 (C, I, II, III, IV, V)",–,6
"Martín i Vigil, Francesca †",PSC-PSOE,Barcelona,1 (VII),1 (VI),2
"Martín Villa, Emilio †",UCD,León,1 (C),1 (I),2
"Martín Villa, Rodolfo","UCD, PP","León, Madrid / Designación real","5 (I, II, IV, V, VI)",1 (C),6
"Martín Vivas, Gloria",PP,Barcelona,1 (VII),–,1
"Martín-Retortillo y Baquer, Lorenzo",Independiente,Zaragoza,–,1 (C),1
"Martín-Retortillo y Baquer, Sebastián †",UCD,Huesca,1 (I),–,1
"Martín-Toledano Suárez, José Alberto",PP,Ciudad Real,"3 (X, XI, XII)",–,3
"Martín del Burgo Simarro, Francisco Javier",PSOE,Ciudad Real,"3 (III, IV, V)",–,3
"Martínez Antolín, Jorge Domingo",PP,Palencia,–,"2 (XIII, XIV)",2
"Martínez Amutio, Justo †",PSOE,Valencia,–,1 (C),1
"Martínez Arcas, Guillermo",PP,Ceuta,–,"2 (XI, XII)",2
"Martínez Arévalo, Pedro",PP,Asturias,1 (IV),–,1
"Martínez Barazón, Martín Marcos",PP,León,–,1 (VIII),1
"Martínez Berenguer, Laura",PP,Alicante,–,"2 (V, VI)",2
"Martínez Bjorkman, Joaquín †",PSOE,Córdoba,–,"6 (C, I, II, III, IV, V)",6
"Martínez Blasco, José Luis",IU,Zaragoza,"2 (IV, V)",–,2
"Martínez Casañ, Guillermo",PP,Valencia,"3 (V, VI, VII)",–,3
"Martínez Castro, María",PSOE,Almería,–,1 (VI),1
"Martínez Catalán, Emigdio",PSOE,Albacete,–,1 (IV),1
"Martínez Cervera, Inmaculada",PP,Valencia,1 (VII),–,1
"Martínez Cuadrado, Miguel",CDS,Madrid,1 (III),–,1
"Martínez Dalmau, Rubén",Podemos-Compromís,Alicante,1 (XI),–,1
"Martínez de Haro, José María",PP,Almería,–,1 (IV),1
"Martínez del Río, José Enrique †","AP-PDP, CP",Palencia,"2 (II, III)",–,2
"Martínez Emperador, José †",AP,Madrid,1 (C),–,1
"Martínez Fernández, Miguel",PSOE,León,–,"2 (VIII, IX)",2
"Martínez Ferro, María Valentina",PP,"Madrid, La Coruña","4 (X, XII, XIII, XIV)",–,4
"Martínez Fraile, Raimon †",PSC-PSOE,Barcelona,1 (VII),–,1
"Martínez Fuertes, Ángel",UCD,León,–,1 (C),1
"Martínez Galán, Juan José",PSOE,Jaén,1 (IX),–,1
"Martínez García, María Antonia",PSOE,Asamblea Regional de Murcia,–,"4 (V, VI, VII, VIII)",4
"Martínez García, Reyes",PP,Cuenca,–,"2 (V, VI)",2
"Martínez García de Otazo, Manuel",PSOE,Murcia,1 (II),–,1
"Martínez Garre, José",UCD,Murcia,–,1 (C),1
"Martínez Gómez, Blanca Azucena",PP,Cantabria,–,"2 (XI, XII)",2
"Martínez González, Belarmina",PSOE,Santa Cruz de Tenerife,1 (VI),–,1
"Martínez González, José Luis",C's,Murcia,"3 (XI, XII, XIII)",–,3
"Martínez González, María Montserrat",PP,Cuenca,–,"2 (XI, XII)",2
"Martínez Gorriarán, Carlos",UPyD,Madrid,1 (X),–,1
"Martínez Granados, María del Carmen",C's,Cádiz,"2 (XIII, XIV)",–,2
"Martínez Guijarro, José Luis",PSOE,Cuenca,–,"2 (III, IV)",2
"Martínez Herrera, Jesús",PSOE,Zaragoza,–,"2 (VIII, IX)",2
"Martínez Higueras, Antonia",PSOE,Jaén,1 (VIII),–,1
"Martínez Izquierdo, Efrén Luciano",PP,Soria,"3 (IV, V, VI)",1 (IX),4
"Martínez Lagares, Enrique †",PSOE,Sevilla,1 (C),–,1
"Martínez Laseca, José María",PSOE,Soria,"3 (V, VI, VII)",–,3
"Martínez López, Cándida",PSOE,Granada,1 (IX),–,1
"Martínez López, Fernando",PSOE,Almería,–,"2 (XIII, XIV)",2
"Martínez Martínez, Alberto Fernando",PP,Granada,–,1 (IV),1
"Martínez Martínez, Enrique",PSOE,Málaga,"4 (II, III, IV, V)",–,4
"Martínez Martínez, Gerardo",PP,Soria,–,"5 (X, XI, XII, XIII, XIV)",5
"Martínez Martínez, Miguel Ángel",PSOE,Ciudad Real,"7 (C, I, II, III, IV, V, VI)",–,7
"Martínez Martínez, Pedro Luis",PSOE,Jaén,–,1 (C),1
"Martínez Muñoz, Rut",PNV,Vizcaya,–,1 (X),1
"Martínez Mus, Vicente",PP,Castellón,–,1 (XIV),1
"Martínez Noval, Luis †",PSOE,Asturias,"6 (II, III, IV, V, VI, VII)",–,6
"Martínez Núñez, Manuel",PSdeG-PSOE,Lugo,"2 (III, IV)",–,2
"Martínez Oblanca, Isidro Manuel","PP, FORO",Asturias / JG del Principado de Asturias,"3 (XI, XII, XIV)","4 (VI, VII, IX, X)",7
"Martínez Olmos, José",PSOE,Granada,1 (X),"2 (XI, XII)",3
"Martínez Ovejero, Antonio",PSOE,Murcia,–,1 (I),1
"Martínez Peñarrubia, María Pilar",PP,Cuenca,–,1 (XIV),1
"Martínez Randulfe, Manuel Antonio","CP, PP-CG",Orense,–,"2 (III, IV)",2
"Martínez Rodríguez, María Rosa","Podemos (Equo), UP",Vizcaya,"2 (XI, XII)",–,2
"Martínez Rodríguez, Santiago",PP,Alicante,1 (X),–,1
"Martínez Ruiz, Ferran",Podemos-Compromís-EUPV,Valencia,–,1 (XII),1
"Martínez Saiz, María Teófila",PP,Cádiz / Parlamento de Andalucía,"7 (IV, V, VI, IX, X, XI, XII)","2 (VII, VIII)",9
"Martínez Sánchez, Inocencio",PP-PAR,Teruel,–,1 (VI),1
"Martínez Sanjuán, Ángel",PSOE,La Rioja,"7 (II, III, IV, V, VI, VII, VIII)",–,7
"Martínez i Saurí, Santiago †",CiU,Barcelona,1 (IV),–,1
"Martínez Seijo, María Luz",PSOE,Palencia,"4 (XI, XII, XIII, XIV)",–,4
"Martínez Sevilla, Álvaro Antonio",IU,Parlamento de Andalucía,–,1 (V),1
"Martínez Sieso, José Joaquín",PP,Cantabria,"4 (IV, V, VIII, IX)",–,4
"Martínez Soriano, Ángel †",UCD,Cuenca,1 (C),–,1
"Martínez Soriano, Juan de Dios †",PP,Granada / Parlamento de Andalucía,1 (IX),"2 (V, VIII)",3
"Martínez Sospedra, Manuel",CDS,Cortes Valencianas,–,"2 (III, IV)",2
"Martínez Urionabarrenetxea, Joseba Koldobika",GBai,Parlamento de Navarra,–,1 (XIV),1
"Martínez Vázquez, Francisco",PP,Madrid,1 (XII),–,1
"Martínez Zaragoza, Ana",PSOE,Alicante,–,"2 (XIII, XIV)",2
"Martínez-Aldama Sáenz, Juan Francisco",PSOE,La Rioja,–,"3 (X, XI, XII)",3
"Martínez-Campillo García, Rafael",CDS,Alicante,"2 (III, IV)",–,2
"Martínez-Maíllo Toribio, Fernando",PP,Zamora,"3 (VII, XI, XII)","2 (XIII, XIV)",5
"Martínez-Pereda Rodríguez, Matías †",PSOE,Asamblea de Extremadura,–,1 (V),1
"Martínez-Pujalte López, Jesús Roque",UCD,Murcia,1 (C),–,1
"Martínez-Pujalte López, Vicente",PP,"Valencia, Murcia","6 (V, VI, VII, VIII, IX, X)",–,6
"Martínez-Villaseñor García, Gervasio","UCD, CP, PP",Cuenca,"5 (C, I, IV, V, VI)",1 (III),6
"Martinón Cejas, Antonio",PSOE,Santa Cruz de Tenerife / Parlamento de Canarias,"2 (V, VI)",1 (II),3
"Martorell Pallás, María del Carmen",PP,Valencia,1 (VII),–,1
"Marzal Martínez, Amparo Rita",PSOE,Murcia,1 (VII),–,1
"Mas i Estela, Manuel",PSC-PSOE,Barcelona,"2 (VIII, IX)",–,2
"Masa Godoy, Antonio",UCD,Badajoz,1 (C),–,1
"Mascareño Alemán, Zenón †",UCD,Santa Cruz de Tenerife,1 (I),–,1
"Masih Nahar, Robert",ERC,Barcelona,–,"2 (XII, XIV)",2
"Massó i Fontàs, Clàudia",DL,Gerona,–,1 (XI),1
"Mata i Garriga, Marta Àngela †",PSC-PSOE,Barcelona / Parlamento de Cataluña,"2 (C, I)","2 (II, V)",4
"Mata Gorostizaga, Enrique de la †",UCD,Teruel,1 (I),–,1
"Mata Menéndez, Alejandro de la",PP,Zaragoza,1 (IX),–,1
"Matador de Matos, Carmen",PP,Badajoz,"3 (VI, VII, VIII)",–,3
"Mataix Hidalgo, Jorge Juan",CDS,Barcelona,1 (III),–,1
"Matamala i Alsina, Josep Maria",JxCat,Gerona,–,"2 (XIII, XIV)",2
"Matarí Sáez, Juan José",PP,Almería / Parlamento de Andalucía,"8 (VII, VIII, IX, X, XI, XII, XIII, XIV)",1 (VI),9
"Mateo Navarro, José Vicente †","PSOE, PCE",Alicante,–,1 (C),1
"Mateos Martín, José Ramón",PSOE,Baleares,1 (VIII),–,1
"Mateos Otero, Vicente †","AP-PDP, CP",Burgos,–,"2 (II, III)",2
"Mateos Yuste, Rafael",PP,Cáceres,1 (VII),"2 (XI, XII)",3
"Mateu Istúriz, Jaime Miguel",PP,Burgos,"3 (XI, XII, XIV)",1 (X),4
"Mato Adrover, Ana",PP,Madrid,"6 (V, VI, VII, VIII, IX, X)",–,6
"Mato Adrover, Gabriel",PP,Santa Cruz de Tenerife,"2 (VII, IX)",–,2
"Mato Escalona, Ángel Manuel",PSdeG-PSOE,La Coruña,–,1 (XII),1
"Matos Castro, Sergio",PSOE,La Palma (Santa Cruz de Tenerife),–,1 (XIII),1
"Matos Mascareño, Pablo",PP,Santa Cruz de Tenerife,"5 (VIII, IX, X, XI, XII)",–,5
"Maturana Plaza, José Antonio",PSE-PSOE,Guipúzcoa,"2 (C, I)",–,2
"Matute García de Jalón, Oskar",EH Bildu,Vizcaya,"3 (XII, XIII, XIV)",–,3
"Matutes Juan, Abel","AP, CD, AP-PDP",Baleares. Ibiza-Formentera,1 (II),"2 (C, I)",3
"Maura Barandiarán, Fernando",C's,Madrid,"2 (XI, XII)",–,2
"Maura Zorita, Eduardo Javier","Podemos, UP",Vizcaya,"2 (XI, XII)",–,2
"Mauricio Rodríguez, José Carlos",CC,Las Palmas,"3 (V, VI, VII)",–,3
"Mayo Alonso, Soraya",C's,Valladolid,1 (XIII),–,1
"Mayo Llanos, Ángel",C's,Sevilla,–,1 (XIII),1
"Mayor Oreja, Jaime","UCD, PP","Guipúzcoa, Vizcaya, Álava","5 (I, IV, VI, VII, VIII)",–,5
"Mayor Zaragoza, Federico",UCD,Granada,1 (C),–,1
"Mayoral Cortés, Victorino",PSOE,Cáceres,"5 (II, III, IV, VII, VIII)",–,5
"Mayoral Perales, Rafael","Podemos, UP",Madrid,"3 (XI, XII, XIII, XIV)",–,3
"Mazarrasa Alvear, Juan José",PSOE,Cantabria,1 (III),–,1
"Mazón Ramos, José María",PRC,Cantabria,"2 (XIII, XIV)",–,2
"Meana Ferrajón, Alejandro",PP,Salamanca,–,1 (IV),1
"Medel Pérez, Rosa María",UP,Valencia,1 (XIV),–,1
"Mederos Aparicio, José Luis Tomás",UCD,Santa Cruz de Tenerife,1 (I),–,1
"Mediavilla Pérez, Rodrigo",PP,Palencia,–,"2 (XIII, XIV)",2
"Medina González, Guillermo",UCD,Sevilla,1 (I),–,1
"Medina Ortega, Manuel",PSOE,Las Palmas,"2 (II, III)",–,2
"Medina Martínez, Juan Carlos",PNV,Álava,–,"2 (XIII, XIV)",2
"Medina Suárez, María Isabel",Podemos,Málaga,1 (XI),–,1
"Medina Teva, Francisca",PSOE,Jaén,1 (IX),–,1
"Medina Toledo, Antonio Luis",PP,Las Palmas,1 (VI),–,1
"Medina Tomé, Gregorio Ramón",PSOE,La Gomera (Santa Cruz de Tenerife),–,1 (X),1
"Medrano y Blasco, Luis Fernando †",UPN-CP,Navarra,1 (III),–,1
