Nombre,Partido,Designación,Congreso,Senado,Legislaturas
"Almunia Amann, Joaquín",PSOE,Madrid,"8 (I, II, III, IV, V, VI, VII, VIII)",–,8
"Alonso Almodóvar, José Luis",UCD,Palencia,–,"2 (C, I)",2
"Alonso Alonso, Luciano",PSOE,Málaga,–,"2 (III, IV)",2
"Alonso Aranegui, Alfonso",PP,Álava,"5 (VII, IX, X, XI, XII)",–,5
"Alonso Bar, Cástor †",AP-PDP,Pontevedra,–,1 (II),1
"Alonso Buitrón, Conrado",PSOE,León,"4 (II, III, IV, V)",1 (VI),5
"Alonso Cantorné, Félix",ECP,Tarragona,"2 (XI, XII)",–,2
"Alonso Clusa, Rosa Ana","Podemos, UP",Cantabria,"2 (XI, XII)",–,2
"Alonso Colacios, Diego",PSOE,Córdoba,–,"4 (II, III, IV, V)",4
"Alonso Conesa, José Antonio",PSOE,Murcia,"2 (IV, V)",–,2
"Alonso Díaz-Guerra, José Jaime",PP,Toledo,1 (XII),–,1
"Alonso García, José Antonio",PSOE,Asturias,–,"3 (VII, VIII, IX)",3
"Alonso García, María Luisa",C's,La Rioja,1 (XIII),–,1
"Alonso García, Mercedes",PP,Alicante,1 (IX),–,1
"Alonso Jiménez, Jesús Manuel",PSOE,Soria,–,"3 (XII, XIII, XIV)",3
"Alonso Losada, Manuel",CDS,Madrid,1 (IV),–,1
"Alonso Luzzy, Ramón",PSOE,Murcia,–,1 (II),1
"Alonso Martínez, Alfonso",PSOE,Navarra,–,1 (III),1
"Alonso Novo, Manuel †",PSOE,Zamora,–,1 (C),1
"Alonso Núñez, Alejandro",PSOE,Toledo,"3 (VIII, IX, X)",–,3
"Alonso Pelayo, Modesto †",UCD,Zamora,1 (C),–,1
"Alonso Pérez, José",US-PSP,Madrid,–,1 (C),1
"Alonso Pérez, José Ángel",PP,Valladolid,1 (XIV),1 (XIII),2
"Alonso Ruiz, José María",PP,Cantabria,1 (X),–,1
"Alonso Sarmiento, Emilio",PSOE,Baleares. Mallorca,"3 (C, I, IV)",1 (III),4
"Alonso Suárez, José Antonio †",PSOE,León,"3 (VIII, IX, X)",–,3
"Alonso Suárez, María Olga",PSdeG-PSOE,Pontevedra,"1 (XIII, XIV)",–,1
"Alonso-Cuevillas i Sayrol, Jaume",JxCat,"Gerona, Barcelona","2 (XIII, XIV)",–,2
"Alonso-Vega Suárez, José María †",UCD,Asturias,–,1 (C),1
"Alonso del Real Montes, Guillermo",PSOE,Cádiz,–,1 (C),1
"Alós López, Ana Isabel","PP-PAR, PP",Huesca,"2 (XI, XII)","2 (XIII, XIV)",4
"Altava Lavall, Manuel Guillermo",PP,Castellón,–,"4 (IX, X, XI, XII)",4
"Alturo i Lloan, Ramon","CiU, DL",Lérida,–,"3 (IX, X, XI)",3
"Álvarez Álvarez, Amador",PP,Cáceres,"5 (V, VI, VII, VIII, IX)",–,5
"Álvarez Álvarez, Ángeles",PSOE,Madrid,"2 (X, XII)",–,2
"Álvarez Álvarez, José Luis","UCD, AP-PDP",Madrid,"2 (I, II)",–,2
"Álvarez Álvarez, Nicolás",PSOE,Ávila,–,1 (II),1
"Álvarez Areces, Vicente Alberto †",PSOE,Asturias,–,"3 (X, XI, XII)",3
"Álvarez Arza, Magdalena",PSOE,Málaga,"2 (VIII, IX)",–,2
"Álvarez Cabrero, Juan Carlos",PP,Segovia,–,"2 (XI, XII)",2
"Álvarez de Frutos, Pedro",PSOE,Segovia,–,1 (II),1
"Álvarez de la Chica, Francisco José",PSOE,Granada / Parlamento de Andalucía,–,"2 (VII, X)",2
"Álvarez de Paz, José",PSOE,León,"3 (I, II, III)",–,3
